epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73853,1.80368,3.33652,1.34485,0.8309,0.41971,0.36949,0.2289,1.60851,2.40414,1.29223,3.334e-05,3.334e-05,3.334e-05
2,7.1815,1.52213,3.26582,1.26383,0.81555,0.48913,0.3899,0.23129,1.62766,2.28855,1.29571,8.30749e-05,8.30749e-05,8.30749e-05
3,9.99809,1.82567,3.26896,1.43636,0.80299,0.5,0.4187,0.25254,1.51096,2.33608,1.23644,0.00013248,0.00013248,0.00013248
4,12.5412,1.46896,2.46546,1.17718,0.79823,0.46429,0.45908,0.31728,1.34415,2.85987,1.16213,0.000181555,0.000181555,0.000181555
5,15.1092,1.36615,2.20417,1.12821,0.82684,0.46429,0.81787,0.48458,1.26635,2.61384,1.12868,0.000230299,0.000230299,0.000230299
6,17.6486,1.51402,2.06672,1.15005,0.86343,0.46429,0.78887,0.47268,1.35948,2.03994,1.15574,0.000278714,0.000278714,0.000278714
7,20.1616,1.36731,1.70734,1.12639,0.4308,0.90877,0.6583,0.39503,1.4115,1.47863,1.20731,0.000326799,0.000326799,0.000326799
8,22.7026,1.32698,1.5569,1.05747,0.45166,1,0.62327,0.40247,1.31489,1.59929,1.12354,0.000374553,0.000374553,0.000374553
9,25.2337,1.35644,1.5317,1.08425,0.45178,0.96429,0.62424,0.37088,1.44048,1.83643,1.17705,0.000421978,0.000421978,0.000421978
10,27.817,1.2228,1.54313,1.05306,0.54233,0.96429,0.6829,0.43742,1.41493,1.39043,1.144,0.000469072,0.000469072,0.000469072
11,30.3558,1.34294,1.44623,1.12614,0.90929,0.90013,0.96933,0.58888,1.22989,1.53514,1.07218,0.000515836,0.000515836,0.000515836
12,32.9096,1.33245,1.22317,1.03272,0.96395,0.91167,0.96255,0.55845,1.31057,1.80552,1.10577,0.000562271,0.000562271,0.000562271
13,35.6505,1.23807,1.19751,1.00227,0.84271,0.90706,0.96278,0.62098,1.2543,1.57229,1.0901,0.000608375,0.000608375,0.000608375
