epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80494,3.31899,2.86558,2.85962,0.00083,0.125,0.00731,0.00146,3.35166,3.59702,3.04302,0,0,0
2,3.78587,3.19068,3.29077,3.00778,0.00083,0.125,0.00731,0.00146,3.38734,3.60452,3.06676,1.9934e-05,1.9934e-05,1.9934e-05
3,4.69081,3.32919,3.2429,2.97749,0.00083,0.125,0.00772,0.00154,3.38169,3.6437,3.04565,3.9736e-05,3.9736e-05,3.9736e-05
4,5.52099,3.08102,2.9913,2.77798,0.00083,0.125,0.00731,0.00146,3.41307,3.66054,3.05716,5.9406e-05,5.9406e-05,5.9406e-05
5,6.34377,3.4494,3.29473,2.92534,0.00083,0.125,0.00694,0.00139,3.46985,3.6689,3.07844,7.8944e-05,7.8944e-05,7.8944e-05
6,7.27789,3.50566,3.54074,2.98176,0.32371,0.12139,0.05493,0.00619,2.97653,3.54824,2.75432,9.835e-05,9.835e-05,9.835e-05
7,8.40161,3.13594,3.51634,3.04798,0.00256,0.375,0.05718,0.01227,2.52006,3.53583,2.40091,0.000117624,0.000117624,0.000117624
8,9.55083,2.62715,3.27448,2.13375,0.15063,0.125,0.07417,0.01973,2.37653,3.45166,2.21049,0.000136766,0.000136766,0.000136766
9,10.6283,2.36181,2.72159,1.8842,0.27159,0.32934,0.15422,0.04599,2.13948,3.28203,2.0862,0.000155776,0.000155776,0.000155776
10,11.715,2.29213,2.3205,1.86887,0.40414,0.375,0.29205,0.07884,1.9792,3.00067,1.94968,0.000174654,0.000174654,0.000174654
11,12.8454,2.01961,2.23596,1.66256,0.52982,0.375,0.38462,0.14552,1.78456,2.64759,1.74287,0.0001934,0.0001934,0.0001934
12,13.987,1.7894,2.07413,1.52493,0.33484,0.56862,0.37156,0.14122,1.55239,2.37573,1.58546,0.000212014,0.000212014,0.000212014
13,15.0525,1.79883,1.96164,1.56849,0.36561,0.75,0.41461,0.17434,1.52919,2.47979,1.51247,0.000230496,0.000230496,0.000230496
14,16.1424,1.60422,1.65246,1.41735,0.36561,0.75,0.41461,0.17434,1.52919,2.47979,1.51247,0.000248846,0.000248846,0.000248846
