epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81238,1.80368,3.33652,1.34485,0.8309,0.41971,0.36949,0.2289,1.60851,2.40414,1.29223,3.334e-05,3.334e-05,3.334e-05
2,6.11873,1.52213,3.26582,1.26383,0.81555,0.48913,0.3899,0.23129,1.62766,2.28855,1.29571,8.30749e-05,8.30749e-05,8.30749e-05
3,8.90402,1.82567,3.26896,1.43636,0.80299,0.5,0.4187,0.25254,1.51096,2.33608,1.23644,0.00013248,0.00013248,0.00013248
4,11.4058,1.46896,2.46546,1.17718,0.79823,0.46429,0.45908,0.31728,1.34415,2.85987,1.16213,0.000181555,0.000181555,0.000181555
5,13.9151,1.36615,2.20417,1.12821,0.82684,0.46429,0.81787,0.48458,1.26635,2.61384,1.12868,0.000230299,0.000230299,0.000230299
6,16.4235,1.51402,2.06672,1.15005,0.86343,0.46429,0.78887,0.47268,1.35948,2.03994,1.15574,0.000278714,0.000278714,0.000278714
7,18.8942,1.36731,1.70734,1.12639,0.4308,0.90877,0.6583,0.39503,1.4115,1.47863,1.20731,0.000326799,0.000326799,0.000326799
8,21.3875,1.32698,1.5569,1.05747,0.45166,1,0.62327,0.40247,1.31489,1.59929,1.12354,0.000374553,0.000374553,0.000374553
9,23.851,1.35644,1.5317,1.08425,0.45178,0.96429,0.62424,0.37088,1.44048,1.83643,1.17705,0.000421978,0.000421978,0.000421978
10,26.3849,1.2228,1.54313,1.05306,0.54233,0.96429,0.6829,0.43742,1.41493,1.39043,1.144,0.000469072,0.000469072,0.000469072
11,28.8597,1.34294,1.44623,1.12614,0.90929,0.90013,0.96933,0.58888,1.22989,1.53514,1.07218,0.000515836,0.000515836,0.000515836
12,31.3547,1.33245,1.22317,1.03272,0.96395,0.91167,0.96255,0.55845,1.31057,1.80552,1.10577,0.000562271,0.000562271,0.000562271
13,34.0498,1.23807,1.19751,1.00227,0.84271,0.90706,0.96278,0.62098,1.2543,1.57229,1.0901,0.000608375,0.000608375,0.000608375
14,36.579,1.2278,1.2173,1.02635,0.75681,1,0.94793,0.56559,1.2985,1.39833,1.11809,0.000654149,0.000654149,0.000654149
15,39.0734,1.20076,1.13713,1.03125,0.89282,1,0.90915,0.59591,1.1734,0.98904,1.07083,0.000699593,0.000699593,0.000699593
16,41.5134,1.29015,1.0878,1.04319,0.866,1,0.91058,0.58934,1.27383,1.1826,1.10559,0.000744707,0.000744707,0.000744707
17,43.965,1.16426,1.00339,1.02991,0.72082,1,0.87215,0.57077,1.00741,1.38562,1.01829,0.000789491,0.000789491,0.000789491
18,46.3252,1.28641,1.0272,1.05932,0.72764,1,0.8716,0.57451,0.96586,1.20517,1.00384,0.000833945,0.000833945,0.000833945
19,48.7429,1.19648,0.98186,1.03222,0.89001,1,0.90681,0.60556,1.24078,0.88792,1.07866,0.000878069,0.000878069,0.000878069
20,51.0574,1.30632,1.03807,1.09241,0.88695,1,0.90681,0.55212,1.32733,0.85341,1.11726,0.000921863,0.000921863,0.000921863
21,53.4925,1.22457,0.98198,1.05417,0.90228,0.99537,0.96667,0.54943,1.26179,0.84953,1.11611,0.000965326,0.000965326,0.000965326
22,55.8141,1.1581,0.92854,0.99872,0.71612,0.97976,0.90545,0.57489,1.1414,1.08416,1.06064,0.00100846,0.00100846,0.00100846
23,58.4697,1.21336,0.97254,1.01695,0.72037,0.95885,0.83125,0.54874,1.02852,1.15506,1.02585,0.00105126,0.00105126,0.00105126
24,60.8084,1.25395,0.92796,1.0295,0.87689,1,0.89965,0.61336,1.08096,0.9396,1.04358,0.00109374,0.00109374,0.00109374
25,63.2175,1.2401,0.89677,1.04517,0.89101,1,0.93804,0.63375,1.14422,0.98878,1.05455,0.00113588,0.00113588,0.00113588
26,65.5875,1.06349,0.88007,0.98769,0.89313,1,0.93896,0.67761,1.00866,0.88461,1.01355,0.00117769,0.00117769,0.00117769
