epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,59.662,0.96238,0.98358,0.87047,0.01019,1,0.01204,0.00795,1.1606,3.24312,0.98076,0.000615095,0.000615095,0.000615095
45,60.9961,0.94571,0.98298,0.89222,0.01019,1,0.01204,0.00795,1.1606,3.24312,0.98076,0.000626979,0.000626979,0.000626979
46,62.3732,0.94589,0.92716,0.8822,0.01012,1,0.12099,0.08482,1.02045,3.06631,0.94345,0.000638753,0.000638753,0.000638753
47,63.6955,0.88309,0.88882,0.86905,0.01012,1,0.12099,0.08482,1.02045,3.06631,0.94345,0.000650417,0.000650417,0.000650417
48,65.0769,0.88272,0.87408,0.87282,0.01013,1,0.55443,0.40696,0.97327,2.94975,0.91176,0.000661971,0.000661971,0.000661971
49,66.4265,0.97852,0.84324,0.88227,0.01013,1,0.55443,0.40696,0.97327,2.94975,0.91176,0.000673415,0.000673415,0.000673415
50,67.7797,0.84953,0.80915,0.86626,0.01007,1,0.76245,0.56428,1.06499,2.89153,0.92706,0.000684749,0.000684749,0.000684749
51,69.1248,0.95761,0.85177,0.86625,0.01007,1,0.76245,0.56428,1.06499,2.89153,0.92706,0.000695973,0.000695973,0.000695973
52,70.4681,0.88033,0.82636,0.8992,0.01006,1,0.83165,0.57965,1.22271,2.92904,0.98828,0.000707086,0.000707086,0.000707086
53,71.8068,1.01453,0.92054,0.91068,0.01006,1,0.83165,0.57965,1.22271,2.92904,0.98828,0.00071809,0.00071809,0.00071809
54,73.1697,1.04891,0.91642,0.90304,0.0101,1,0.82641,0.59166,1.14297,2.93382,0.9853,0.000728984,0.000728984,0.000728984
55,74.5016,0.93858,0.85562,0.89705,0.0101,1,0.82641,0.59166,1.14297,2.93382,0.9853,0.000739768,0.000739768,0.000739768
56,75.8414,0.96275,0.84802,0.86081,0.01012,1,0.76732,0.5641,1.03259,2.97336,0.93938,0.000750442,0.000750442,0.000750442
57,77.1846,1.01654,0.85774,0.88731,0.01012,1,0.76732,0.5641,1.03259,2.97336,0.93938,0.000761006,0.000761006,0.000761006
58,78.5057,1.00556,0.88877,0.89727,0.01005,1,0.82062,0.57523,1.02854,3.02351,0.93803,0.000771459,0.000771459,0.000771459
